Car Name,Car Prices (In rupee),kms Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats
Datsun RediGO AMT 1.0 T Option,3.70 Lakh,"30,000 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats
Honda Brio VX AT,5.25 Lakh,"34,300 kms",Petrol,Automatic,1st Owner,2015,1198 cc,5 Seats
Honda City i VTEC CVT SV,7.25 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats
Toyota Corolla Altis GL MT,8.50 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2014,1798 cc,5 Seats
Jeep Compass 1.4 Sport,14 Lakh,"50,000 kms",Petrol,Manual,1st Owner,2018,1368 cc,5 Seats
Volvo XC60 D4 Summum,15 Lakh,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,1985 cc,5 Seats
Toyota Corolla Altis 1.8 G,13.90 Lakh,"54,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats
Hyundai Verna VTVT 1.6 SX,8.90 Lakh,"19,600 kms",Petrol,Manual,1st Owner,2019,1591 cc,5 Seats
Audi A4 2.0 TDI Technology Edition,16.90 Lakh,"48,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
Audi Q3 2.0 TDI,13.90 Lakh,"69,500 kms",Diesel,Automatic,1st Owner,2012,1968 cc,5 Seats
BMW 5 Series 530d,15 Lakh,"71,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats
Porsche Cayenne S Diesel,45 Lakh,"48,894 kms",Diesel,Automatic,1st Owner,2014,4134 cc,5 Seats
Maruti A-Star Zxi,1.53 Lakh,"46,257 kms",Petrol,Manual,3rd Owner,2008,998 cc,5 Seats
Ford Ecosport 1.5 DV5 MT Titanium,5.09 Lakh,"78,264 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats
Honda Jazz 1.2 S AT i VTEC,5.46 Lakh,"42,451 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
Volkswagen Vento Diesel Highline,2.73 Lakh,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,1598 cc,5 Seats
Maruti Wagon R VXI BS IV,1.80 Lakh,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,998 cc,5 Seats
Chevrolet Beat Diesel PS,1.10 Lakh,"1,50,349 kms",Diesel,Manual,1st Owner,2012,936 cc,5 Seats
Maruti Wagon R VXI BS IV,3.69 Lakh,"29,033 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats
BMW 3 Series 320d Luxury Line,13.50 Lakh,"99,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats
Renault KWID RXL,2.75 Lakh,"47,000 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats
Maruti Baleno 1.3 Sigma,5.50 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats
Mercedes-Benz C-Class C 220 CDI BE COR,9.75 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2013,2143 cc,5 Seats
Honda City S,4 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2012,1497 cc,5 Seats
Honda Amaze VX AT i-Vtech,4.75 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats
Hyundai EON D Lite,1.90 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2012,814 cc,5 Seats
Hyundai i20 Magna Optional 1.2,4.65 Lakh,"23,000 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Era,4.60 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
Hyundai i10 Magna 1.1L,3.25 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2014,1086 cc,5 Seats
Maruti Ertiga VDI,5.25 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,7 Seats
Hyundai i20 1.2 Spotz,6.25 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
BMW 2 Series 220i M Sport,40 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2021,1998 cc,5 Seats
Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16.75 Lakh,"16,000 kms",Petrol,Automatic,1st Owner,2022,999 cc,5 Seats
Honda City i-VTEC VX,10 Lakh,"24,000 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats
MG Hector Plus Select Diesel MT 7 STR,17.90 Lakh,"36,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,7 Seats
Jeep Compass 1.4 Limited Plus,13.90 Lakh,"35,000 kms",Petrol,Automatic,2nd Owner,2019,1368 cc,5 Seats
Honda Amaze E Petrol BSIV,6.10 Lakh,"64,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
Maruti Vitara Brezza VDi,7.75 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
Hyundai Grand i10 Magna,4.60 Lakh,"29,900 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
Mahindra XUV700 AX5 Diesel AT,20.91 Lakh,"20,000 kms",Diesel,Automatic,1st Owner,2022,2198 cc,5 Seats
Tata Indigo VX BSIV,3.10 Lakh,"1,60,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats
Tata Tiago XZ Plus,5.65 Lakh,"16,000 kms",Petrol,Manual,1st Owner,2020,1199 cc,5 Seats
Honda WR-V i-VTEC VX,9 Lakh,"17,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats
Lexus NX 300h,42 Lakh,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,2499 cc,5 Seats
Mercedes-Benz M-Class ML 250 CDI,28.50 Lakh,"38,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats
Honda Jazz 1.5 SV i DTEC,5.50 Lakh,"32,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats
Volkswagen Polo 1.2 MPI Comfortline,4.50 Lakh,"67,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
Ford Ecosport 1.5 Petrol Titanium AT,6.75 Lakh,"50,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats
Maruti Swift VDI BSIV,1.80 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1248 cc,5 Seats
Hyundai Verna VTVT 1.6 AT EX,7.75 Lakh,"51,000 kms",Petrol,Automatic,1st Owner,2017,1591 cc,5 Seats
Hyundai Grand i10 1.2 CRDi Sportz,5.50 Lakh,"83,000 kms",Diesel,Manual,1st Owner,2017,1186 cc,5 Seats
Audi Q3 35 TDI Quattro Premium,24 Lakh,"38,000 kms",Diesel,Automatic,1st Owner,2016,1968 cc,5 Seats
Hyundai Creta 1.6 SX Automatic Diesel,13.25 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats
Hyundai Creta 1.6 SX,11 Lakh,"36,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats
Volkswagen Vento 1.0 TSI Highline AT,10.50 Lakh,"23,500 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats
Hyundai i20 1.2 Magna Executive,6.50 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
Skoda Superb LK 1.8 TSI AT,25 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2018,1798 cc,5 Seats
Honda Amaze V Petrol BSIV,6 Lakh,"36,500 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats
Skoda Superb Sportline,31 Lakh,"25,000 kms",Petrol,Automatic,1st Owner,2021,1984 cc,5 Seats
Kia Seltos HTX IVT,15.75 Lakh,"20,500 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats
Honda Amaze S i-Vtech,4.50 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats
Hyundai i20 Magna 1.2,5.90 Lakh,"59,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
BMW X1 sDrive 20d xLine,14.50 Lakh,"80,000 kms",Diesel,Automatic,1st Owner,2014,1995 cc,5 Seats
Hyundai Xcent 1.2 CRDi E Plus,3.80 Lakh,"50,000 kms",Diesel,Manual,2nd Owner,2017,1186 cc,5 Seats
Tata Harrier XZAS Plus Kaziranga Edition AT,21 Lakh,"32,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats
Hyundai i10 Era 1.1 iTech SE,2.61 Lakh,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,1086 cc,5 Seats
Land Rover Discovery 2.0 R-Dynamic HSE,1.10 Crore,"33,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,7 Seats
Mini 3 DOOR Cooper S,42 Lakh,"6,900 kms",Petrol,Automatic,1st Owner,2019,1998 cc,4 Seats
Tata Harrier XZA Plus Kaziranga Edition AT,22.50 Lakh,"4,500 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats
Volvo S90 D4 Inscription BSIV,42 Lakh,"51,000 kms",Diesel,Automatic,1st Owner,2018,1969 cc,5 Seats
Kia Seltos GTX Plus AT D,19.75 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats
Maruti Vitara Brezza ZDi Plus,9.50 Lakh,"37,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats
Hyundai Verna SX Opt Diesel,14.51 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2021,1493 cc,5 Seats
Maruti Wagon R VXI Optional,3 Lakh,"80,000 kms",Petrol,Manual,2nd Owner,2016,998 cc,5 Seats
Hyundai Grand i10 Magna,4.60 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats
Honda Amaze VX CVT,9.15 Lakh,"10,000 kms",Petrol,Automatic,1st Owner,2022,1199 cc,5 Seats
Maruti Ignis Zeta AMT,5.50 Lakh,"59,385 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
Jaguar XF 3.0 Litre S Premium Luxury,17 Lakh,"51,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats
Mahindra XUV500 AT W6 1.99 mHawk,9.90 Lakh,"74,000 kms",Diesel,Automatic,1st Owner,2017,1997 cc,7 Seats
Tata Nexon 1.2 Revotron XMA,8.51 Lakh,"29,000 kms",Petrol,Automatic,1st Owner,2020,1198 cc,5 Seats
Jeep Compass Model S 4X4 Diesel AT,27.50 Lakh,"12,200 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.50 Lakh,"40,000 kms",Petrol,Automatic,3rd Owner,2019,1197 cc,5 Seats
Hyundai Verna CRDi 1.6 SX,9.51 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats
Toyota Innova Crysta 2.8 ZX AT BSIV,19.90 Lakh,"75,000 kms",Diesel,Automatic,2nd Owner,2019,2755 cc,7 Seats
Land Rover Discovery Sport TD4 HSE 7S,35.50 Lakh,"72,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,7 Seats
Ford Aspire 1.2 Ti-VCT Titanium,5.50 Lakh,"23,400 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
Ford Aspire 1.2 Ti-VCT Ambiente,3.90 Lakh,"59,300 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
Hyundai Creta 1.4 CRDi S,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats
Maruti Swift Dzire LDI,4.51 Lakh,"67,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
Honda Amaze S CVT i-VTEC,7.25 Lakh,"33,500 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats
Hyundai Creta SX Executive,12.75 Lakh,"17,000 kms",Petrol,Manual,2nd Owner,2021,1497 cc,5 Seats
Volkswagen Ameo 1.5 TDI Highline AT,6.90 Lakh,"33,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,5 Seats
Volkswagen Polo GT TSI,6.75 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
Hyundai Grand i10 AT Asta,5.65 Lakh,"26,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
Hyundai Venue SX Opt iMT,10 Lakh,"14,500 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats
Kia Seltos GTX Plus AT D,19.75 Lakh,"10,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats
MG Hector Plus Sharp DCT,17 Lakh,"15,001 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats
Skoda Octavia Elegance 1.8 TSI AT,9.75 Lakh,"55,000 kms",Petrol,Automatic,2nd Owner,2015,1798 cc,5 Seats
Toyota Corolla Altis G,6.50 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2013,1798 cc,5 Seats
Ford Endeavour 4x4 XLT,4 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,2953 cc,7 Seats
Honda Amaze S AT i-Vtech,4.75 Lakh,"65,413 kms",Petrol,Automatic,1st Owner,2013,1198 cc,5 Seats
Honda Jazz Mode,2.80 Lakh,"45,000 kms",Petrol,Manual,2nd Owner,2009,1198 cc,5 Seats
Ford Figo 1.2P Trend MT,4.30 Lakh,"44,000 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Magna BSIV,4.90 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
Ford Ecosport 1.5 Petrol Titanium AT,6.51 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats
Mahindra Thar LX 4-Str Hard Top Diesel AT,17.51 Lakh,"19,000 kms",Diesel,Automatic,1st Owner,2022,2184 cc,4 Seats
Hyundai i20 Magna Optional 1.4 CRDi,3.91 Lakh,"56,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats
Honda City 1.5 V MT,3.75 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2010,1497 cc,5 Seats
Toyota Etios G,4.90 Lakh,"27,680 kms",Petrol,Manual,1st Owner,2013,1496 cc,5 Seats
Kia Seltos GTX Plus AT D,18.25 Lakh,"27,305 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats
BMW 3 Series 320d,33 Lakh,"10,793 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats
BMW X3 xDrive 20d Luxury Line,56 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2020,1995 cc,5 Seats
MG Hector Sharp DCT,14.99 Lakh,"44,000 kms",Petrol,Automatic,1st Owner,2019,1451 cc,5 Seats
Kia Seltos HTK G,11.99 Lakh,"63,000 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats
Hyundai i20 Sportz Plus Diesel,6.50 Lakh,"87,000 kms",Diesel,Manual,1st Owner,2019,1396 cc,5 Seats
Maruti Alto LXi,1.90 Lakh,"61,000 kms",Petrol,Manual,1st Owner,2010,796 cc,5 Seats
Hyundai i20 Sportz Option 1.4 CRDi,6.25 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats
Audi A4 2.0 TDI Multitronic,16.51 Lakh,"70,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
Nissan Micra Diesel XV,2.25 Lakh,"58,000 kms",Diesel,Manual,2nd Owner,2012,1461 cc,5 Seats
Honda Jazz Active,1.30 Lakh,"90,000 kms",Petrol,Manual,3rd Owner,2009,1198 cc,5 Seats
Honda City VX MT,12.50 Lakh,"19,000 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats
Toyota Corolla Altis G AT,9.25 Lakh,"72,159 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats
Ford Ecosport 1.5 DV5 MT Titanium,5.90 Lakh,"78,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats
Ford Ecosport 1.5 Diesel Titanium BSIV,6.90 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
Land Rover Range Rover Evoque 2.0 TD4 SE,42.50 Lakh,"56,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,5 Seats
Nissan Micra Diesel XV,2.90 Lakh,"73,000 kms",Diesel,Manual,1st Owner,2012,1461 cc,5 Seats
Hyundai Creta 1.6 VTVT S,8.90 Lakh,"28,840 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats
Maruti Swift Dzire AMT ZXI,6.90 Lakh,"51,500 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
Maruti S-Presso VXI Plus AT 2019-2022,4.80 Lakh,"41,370 kms",Petrol,Automatic,1st Owner,2020,998 cc,5 Seats
Hyundai Creta 1.6 VTVT S,8.75 Lakh,"41,266 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats
Hyundai Verna VTVT 1.6 AT SX Option,9.90 Lakh,"31,740 kms",Petrol,Automatic,1st Owner,2018,1591 cc,5 Seats
Maruti Ciaz VXi Plus,6.15 Lakh,"77,876 kms",Petrol,Manual,1st Owner,2015,1373 cc,5 Seats
Skoda Kushaq 1.5 TSI Style,20.50 Lakh,"9,500 kms",Petrol,Manual,1st Owner,2022,1498 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Sportz Option AT,6.25 Lakh,"28,387 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
Mercedes-Benz M-Class ML 350 CDI,27 Lakh,"1,20,000 kms",Diesel,Automatic,2nd Owner,2015,2987 cc,5 Seats
Hyundai Grand i10 Magna,4.50 Lakh,"20,000 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats
Mercedes-Benz C-Class Progressive C 220d,42.50 Lakh,"30,686 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
Tata Indica eV2 DL BSIII,1 Lakh,"1,20,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats
Mahindra Bolero Power Plus SLE,6 Lakh,"1,84,000 kms",Diesel,Manual,2nd Owner,2018,1493 cc,7 Seats
Honda City 1.5 S AT,4 Lakh,"40,000 kms",Petrol,Automatic,1st Owner,2009,1497 cc,5 Seats
Maruti Ciaz Delta Diesel,6.25 Lakh,"55,000 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats
Hyundai Grand i10 1.2 Kappa Sportz Option,5.75 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
Audi Q3 30 TFSI Premium FWD,23.50 Lakh,"40,000 kms",Petrol,Automatic,1st Owner,2017,1395 cc,5 Seats
Hyundai Santro GS zipDrive - Euro II,1.35 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2006,999 cc,5 Seats
Mahindra Bolero SLX,3 Lakh,"1,10,000 kms",Diesel,Manual,3rd Owner,2009,2523 cc,7 Seats
Maruti Swift LDI,2.10 Lakh,"1,43,000 kms",Diesel,Manual,2nd Owner,2011,1248 cc,5 Seats
Tata Indica Aqua 1.3 Quadrajet BSIV,1.25 Lakh,"1,10,000 kms",Diesel,Manual,3rd Owner,2012,1248 cc,5 Seats
Mahindra KUV 100 mFALCON D75 K4 Plus,4.75 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2017,1198 cc,6 Seats
Honda City i VTEC SV,5.50 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2014,1497 cc,5 Seats
Tata Harrier XZ Plus,17 Lakh,"50,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,5 Seats
Tata Zest Revotron 1.2 XT,3.49 Lakh,"55,000 kms",Petrol,Manual,1st Owner,2015,1193 cc,5 Seats
Land Rover Discovery Sport R-Dynamic SE Diesel,70 Lakh,"19,500 kms",Diesel,Automatic,1st Owner,2021,1999 cc,7 Seats
Mahindra XUV500 AT W10 FWD,9.25 Lakh,"78,000 kms",Diesel,Automatic,2nd Owner,2016,2179 cc,7 Seats
Honda City V MT,3.90 Lakh,"58,000 kms",Petrol,Manual,1st Owner,2010,1497 cc,5 Seats
Mahindra XUV500 W10 2WD,10.25 Lakh,"91,000 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats
Mahindra XUV500 AT W10 1.99 mHawk,11.25 Lakh,"30,000 kms",Diesel,Automatic,1st Owner,2016,1997 cc,7 Seats
Maruti Baleno 1.2 Zeta,7.25 Lakh,"44,153 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
Mercedes-Benz C-Class C 250d Avantgarde Edition C,34.50 Lakh,"21,000 kms",Diesel,Automatic,1st Owner,2018,2143 cc,5 Seats
