useMilage,useFuelType,useTransmission,useOwnership,useManufacture,useEngine,useSeats,Coorelation Coefficient
True,True,True,False,True,False,True,0.433676362027826
False,False,False,True,True,False,True,0.13793404692559808
True,False,False,True,True,False,True,0.15009379246785814
False,True,False,True,True,False,True,0.19218340703165826
True,True,False,True,True,False,True,0.22984403573641765
False,False,True,True,True,False,True,0.38096427411499856
True,False,True,True,True,False,True,0.3856645698071761
False,True,True,True,True,False,True,0.42541640898601385
True,True,True,True,True,False,True,0.4393534881285469
False,False,False,False,False,True,True,0.027991681403510826
True,False,False,False,False,True,True,0.11513174094997769
False,True,False,False,False,True,True,0.050576877300352874
True,True,False,False,False,True,True,0.20622475520717065
False,False,True,False,False,True,True,0.28486643423363556
True,False,True,False,False,True,True,0.3523906236445622
False,True,True,False,False,True,True,0.30449385273501817
True,True,True,False,False,True,True,0.3954372718801632
False,False,False,True,False,True,True,0.05840962462012411
True,False,False,True,False,True,True,0.11907412185078481
False,True,False,True,False,True,True,0.08390518415144799
True,True,False,True,False,True,True,0.2108430818695487
False,False,True,True,False,True,True,0.31993852419622726
True,False,True,True,False,True,True,0.36025801763606524
False,True,True,True,False,True,True,0.3435926575877547
True,True,True,True,False,True,True,0.40786154432339616
False,False,False,False,True,True,True,0.16278647905042232
True,False,False,False,True,True,True,0.16873715004629608
False,True,False,False,True,True,True,0.21591629902237364
True,True,False,False,True,True,True,0.2526753016294826
False,False,True,False,True,True,True,0.39125125323936516
True,False,True,False,True,True,True,0.3942645393341885
False,True,True,False,True,True,True,0.4302129907297042
True,True,True,False,True,True,True,0.44187295777902136
False,False,False,True,True,True,True,0.16433275337840092
True,False,False,True,True,True,True,0.1708848008577657
False,True,False,True,True,True,True,0.2171661069412696
True,True,False,True,True,True,True,0.24401682966064142
False,False,True,True,True,True,True,0.39339056464898237
True,False,True,True,True,True,True,0.39619360614473864
False,True,True,True,True,True,True,0.4347132214260653
True,True,True,True,True,True,True,0.4448908891698482
